plan_id,district_id,dem_votes,rep_votes,population,winner
75,0,152235,236171,729487,Republican
75,1,257584,146789,746031,Democrat
75,2,238384,161340,774763,Democrat
75,3,207821,187623,740530,Democrat
75,4,244531,147497,751506,Democrat
75,5,193979,219973,792146,Republican
75,6,148670,277145,761567,Republican
75,7,208333,173054,735163,Democrat
75,8,212924,177563,785194,Democrat
75,9,150681,233691,737811,Republican
75,10,142050,236855,789346,Republican
75,11,188565,226168,794990,Republican
75,12,163832,218787,742085,Republican
75,13,204020,254285,798641,Republican
