plan_id,district_id,dem_votes,rep_votes,population,winner
398,0,195090,225839,788923,Republican
398,1,154356,196095,738075,Republican
398,2,216805,187794,778462,Democrat
398,3,136615,234090,738648,Republican
398,4,238806,146396,742370,Democrat
398,5,202699,246917,783883,Republican
398,6,287443,117493,757550,Democrat
398,7,122331,306518,766539,Republican
398,8,173009,214830,741997,Republican
398,9,186659,203888,729509,Republican
398,10,184750,237800,793354,Republican
398,11,215317,196404,766640,Democrat
398,12,238178,148334,757557,Democrat
398,13,161551,234543,795753,Republican
