plan_id,district_id,dem_votes,rep_votes,population,winner
277,0,188076,242129,778880,Republican
277,1,128058,305069,770070,Republican
277,2,235638,131503,726687,Democrat
277,3,175711,263303,782114,Republican
277,4,271274,142370,770544,Democrat
277,5,157073,215567,747255,Republican
277,6,177161,225500,750221,Republican
277,7,268834,145299,789862,Democrat
277,8,182289,222693,773452,Republican
277,9,218962,197450,784937,Democrat
277,10,203350,182120,730996,Democrat
277,11,174893,169063,753512,Democrat
277,12,127025,206435,724751,Republican
277,13,205265,248440,795979,Republican
