JobID|JobName|State|ExitCode|Submit|Start|End|Elapsed|AllocCPUS|NNodes|NodeList|TotalCPU|CPUTime|MaxRSS
69976_10|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:11|2026-07-19T18:08:12|2026-07-19T18:08:45|00:00:33|28|1|sn148|00:35.152|00:15:24|
69976_10.batch|batch|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:45|00:00:33|28|1|sn148|00:35.150|00:15:24|0.45G
69976_10.extern|extern|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:45|00:00:33|28|1|sn148|00:00.001|00:15:24|0.00G
69976_1|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:11|2026-07-19T18:08:12|2026-07-19T18:08:44|00:00:32|28|1|sn007|00:34.664|00:14:56|
69976_1.batch|batch|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:44|00:00:32|28|1|sn007|00:34.662|00:14:56|0.48G
69976_1.extern|extern|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:44|00:00:32|28|1|sn007|00:00.002|00:14:56|0.00G
69976_2|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:11|2026-07-19T18:08:12|2026-07-19T18:08:47|00:00:35|28|1|sn009|00:37.363|00:16:20|
69976_2.batch|batch|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:47|00:00:35|28|1|sn009|00:37.361|00:16:20|0.45G
69976_2.extern|extern|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:47|00:00:35|28|1|sn009|00:00.001|00:16:20|0.00G
69976_3|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:11|2026-07-19T18:08:12|2026-07-19T18:08:45|00:00:33|28|1|sn011|00:35.576|00:15:24|
69976_3.batch|batch|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:45|00:00:33|28|1|sn011|00:35.574|00:15:24|0.45G
69976_3.extern|extern|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:46|00:00:34|28|1|sn011|00:00.001|00:15:52|0.00G
69976_4|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:11|2026-07-19T18:08:12|2026-07-19T18:08:46|00:00:34|28|1|sn056|00:35.715|00:15:52|
69976_4.batch|batch|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:46|00:00:34|28|1|sn056|00:35.714|00:15:52|0.47G
69976_4.extern|extern|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:46|00:00:34|28|1|sn056|00:00.001|00:15:52|0.00G
69976_5|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:11|2026-07-19T18:08:12|2026-07-19T18:08:47|00:00:35|28|1|sn064|00:36.577|00:16:20|
69976_5.batch|batch|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:47|00:00:35|28|1|sn064|00:36.575|00:16:20|0.48G
69976_5.extern|extern|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:47|00:00:35|28|1|sn064|00:00.001|00:16:20|0.00G
69976_6|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:11|2026-07-19T18:08:12|2026-07-19T18:08:45|00:00:33|28|1|sn059|00:35.478|00:15:24|
69976_6.batch|batch|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:45|00:00:33|28|1|sn059|00:35.476|00:15:24|0.49G
69976_6.extern|extern|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:45|00:00:33|28|1|sn059|00:00.002|00:15:24|0.00G
69976_7|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:11|2026-07-19T18:08:12|2026-07-19T18:08:44|00:00:32|28|1|sn060|00:33.984|00:14:56|
69976_7.batch|batch|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:44|00:00:32|28|1|sn060|00:33.982|00:14:56|0.47G
69976_7.extern|extern|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:44|00:00:32|28|1|sn060|00:00.001|00:14:56|0.00G
69976_8|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:11|2026-07-19T18:08:12|2026-07-19T18:08:47|00:00:35|28|1|sn136|00:36.852|00:16:20|
69976_8.batch|batch|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:47|00:00:35|28|1|sn136|00:36.850|00:16:20|0.46G
69976_8.extern|extern|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:47|00:00:35|28|1|sn136|00:00.001|00:16:20|0.00G
69976_9|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:11|2026-07-19T18:08:12|2026-07-19T18:08:47|00:00:35|28|1|sn137|00:37.303|00:16:20|
69976_9.batch|batch|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:47|00:00:35|28|1|sn137|00:37.301|00:16:20|0.45G
69976_9.extern|extern|COMPLETED|0:0|2026-07-19T18:08:12|2026-07-19T18:08:12|2026-07-19T18:08:47|00:00:35|28|1|sn137|00:00.001|00:16:20|0.00G
