plan_id,dem_seats,rep_seats,dem_vote_share,rep_vote_share,dem_seat_share,proportionality_gap
1,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
2,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
3,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
4,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
5,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
6,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
7,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
8,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
9,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
10,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
11,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
12,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
13,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
14,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
15,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
16,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
17,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
18,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
19,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
20,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
21,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
22,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
23,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
24,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
25,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
26,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
27,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
28,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
29,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
30,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
31,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
32,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
33,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
34,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
35,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
36,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
37,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
38,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
39,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
40,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
41,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
42,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
43,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
44,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
45,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
46,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
47,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
48,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
49,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
50,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
51,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
52,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
53,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
54,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
55,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
56,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
57,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
58,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
59,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
60,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
61,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
