plan_id,total_dem_seats,total_rep_seats,dem_vote_share,rep_vote_share,seat_share_dem,proportionality_gap
1,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
2,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
3,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
4,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
5,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
6,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
7,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
8,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
9,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
10,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
11,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
12,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
13,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
14,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
15,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
16,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
17,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
18,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
19,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
20,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
21,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
22,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
23,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
24,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
25,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
26,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
27,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
28,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
